YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2001,3,1,4.76,6.26,6.72,0.52,0.65,414.73,93.65,121.32,12.81,0.37,1.91
2001,3,2,4.76,5.84,9.39,0.52,0.64,405.98,90.7,108.67,11.71,0.33,1.69
2001,3,3,5.31,6.07,5.58,0.58,0.71,391.2,100.75,114.41,12.94,0.36,1.84
2001,3,4,4.41,5.5,8.09,0.48,0.59,402.53,83.3,101.09,10.33,0.28,1.45
2001,3,5,3.68,5.81,8.89,0.4,0.49,403.35,70.84,107.42,9.42,0.26,1.32
2001,3,6,3.86,6.03,6.52,0.41,0.51,415.09,75.91,113.95,10.3,0.3,1.52
2001,3,7,5.25,6.26,5.25,0.56,0.69,411.54,102.28,120.77,13.35,0.38,2.01
2001,3,8,2.19,6.09,10.03,0.23,0.29,416.96,45.72,116.53,6.52,0.19,0.95
2001,3,9,3.1,5.75,10.22,0.33,0.41,409.17,61.82,106.82,8.27,0.25,1.27
2001,3,10,4.01,6.17,7.7,0.42,0.52,412.3,79.73,117.54,10.68,0.32,1.64
2001,3,11,5.28,6.38,5.59,0.55,0.68,402.44,103.05,122.97,13.68,0.4,2.07
2001,3,12,2.55,6.37,7.95,0.27,0.33,414.57,53.16,122.67,7.74,0.23,1.18
2001,3,13,2.92,6.46,9.34,0.3,0.37,408.75,59.8,122.52,8.52,0.24,1.24
2001,3,14,4.75,6.62,6.4,0.49,0.6,404.71,93.58,127.48,12.7,0.38,1.91
2001,3,15,6.15,6.69,5.68,0.64,0.77,395.68,119.31,129.26,15.59,0.46,2.43
2001,3,16,5.06,6.76,5.78,0.52,0.63,417.38,100.77,132.41,13.84,0.43,2.27
2001,3,17,6.79,6.84,4.37,0.7,0.84,406.44,132.84,133.86,17.26,0.5,2.64
